Source,Target,Type
n996,n1033,Directed
n996,n998,Directed
n996,n1032,Directed
n996,n997,Directed
n996,n999,Directed
n996,n1019,Directed
n996,n1000,Directed
n996,n1017,Directed
n996,n1023,Directed
n996,n1024,Directed
n996,n1011,Directed
n996,n1022,Directed
n996,n1009,Directed
n996,n1012,Directed
n996,n1014,Directed
n996,n1025,Directed
n996,n1030,Directed
n1034,n1054,Directed
n1034,n1044,Directed
n1034,n228,Directed
n1034,n1042,Directed
n1034,n1056,Directed
n1034,n1045,Directed
n1034,n1050,Directed
n1034,n273,Directed
n1034,n1049,Directed
n1034,n1057,Directed
n1034,n1055,Directed
n1034,n1060,Directed
n1034,n1051,Directed
n1034,n1052,Directed
n1034,n1059,Directed
n1034,n1061,Directed
n1034,n1039,Directed
n1034,n1038,Directed
n1034,n1058,Directed
n1034,n1041,Directed
n1034,n1043,Directed
n1034,n1062,Directed
n1034,n1046,Directed
n1034,n1036,Directed
n1034,n1037,Directed
n1034,n1047,Directed
n1034,n1048,Directed
n1034,n1035,Directed
n1034,n1040,Directed
n1034,n1053,Directed
n1063,n1068,Directed
n1063,n1088,Directed
n1063,n1099,Directed
n1063,n1081,Directed
n1063,n1074,Directed
n1063,n871,Directed
n1063,n1087,Directed
n1063,n85,Directed
n1063,n1079,Directed
n1063,n1082,Directed
n1063,n873,Directed
n1063,n880,Directed
n1063,n1071,Directed
n1063,n1066,Directed
n1063,n860,Directed
n1063,n1067,Directed
n1063,n854,Directed
n1063,n833,Directed
n1063,n1078,Directed
n1063,n869,Directed
n1063,n1080,Directed
n1063,n1098,Directed
n1063,n1091,Directed
n1063,n882,Directed
n1063,n859,Directed
n1063,n1075,Directed
n1063,n876,Directed
n1063,n1083,Directed
n1063,n1084,Directed
n1063,n1073,Directed
n1063,n1085,Directed
n1063,n1064,Directed
n1063,n1069,Directed
n1063,n842,Directed
n1063,n1093,Directed
n1063,n1100,Directed
n1063,n1077,Directed
n1063,n821,Directed
n1063,n1070,Directed
n1063,n836,Directed
n1063,n1094,Directed
n1063,n1095,Directed
n1063,n1065,Directed
n1063,n1096,Directed
n1063,n870,Directed
n1063,n1086,Directed
n1063,n1090,Directed
n1063,n1076,Directed
n1063,n1092,Directed
n1063,n853,Directed
n1063,n1072,Directed
n1063,n1089,Directed
n1063,n863,Directed
n1063,n1097,Directed
n1101,n1135,Directed
n1101,n1106,Directed
n1101,n1131,Directed
n1101,n1117,Directed
n1101,n1153,Directed
n1101,n1158,Directed
n1101,n1108,Directed
n1101,n1164,Directed
n1101,n1134,Directed
n1101,n1123,Directed
n1101,n5195,Directed
n1101,n1111,Directed
n1101,n1130,Directed
n1101,n1167,Directed
n1101,n1162,Directed
n1101,n1168,Directed
n1101,n1119,Directed
n1101,n1104,Directed
n1101,n1129,Directed
n1101,n1105,Directed
n1101,n1148,Directed
n1101,n1115,Directed
n1101,n179,Directed
n1101,n1128,Directed
n1101,n1145,Directed
n1101,n449,Directed
n1101,n1107,Directed
n1101,n1124,Directed
n1101,n1160,Directed
n1101,n1116,Directed
n1101,n1103,Directed
n1101,n416,Directed
n1101,n1166,Directed
n1101,n1114,Directed
n1101,n1144,Directed
n1101,n1125,Directed
n1101,n1161,Directed
n1101,n1121,Directed
n1101,n1132,Directed
n1101,n1133,Directed
n1101,n1102,Directed
n1101,n1140,Directed
n1101,n1151,Directed
n1101,n1120,Directed
n1101,n1149,Directed
n1101,n1127,Directed
n1101,n1163,Directed
n1101,n1109,Directed
n1101,n1122,Directed
n1101,n1138,Directed
n1101,n1141,Directed
n1101,n1150,Directed
n1101,n1152,Directed
n1101,n1126,Directed
n1101,n1143,Directed
n1101,n1113,Directed
n1101,n1157,Directed
n1101,n1142,Directed
n1101,n1155,Directed
n1101,n1169,Directed
n1101,n1170,Directed
n1101,n1139,Directed
n1101,n1118,Directed
n1101,n1156,Directed
n1101,n1136,Directed
n1101,n1112,Directed
n1101,n1147,Directed
n1101,n1154,Directed
n1101,n1137,Directed
n1101,n245,Directed
n1101,n1146,Directed
n1101,n1159,Directed
n1101,n1110,Directed
n1101,n1165,Directed
n1171,n1221,Directed
n1171,n1199,Directed
n1171,n1239,Directed
n1171,n1186,Directed
n1171,n1178,Directed
n1171,n1200,Directed
n1171,n1210,Directed
n1171,n1216,Directed
n1171,n1207,Directed
n1171,n1223,Directed
n1171,n1197,Directed
n1171,n1250,Directed
n1171,n4242,Directed
n1171,n1230,Directed
n1171,n1245,Directed
n1171,n1219,Directed
n1171,n1185,Directed
n1171,n1182,Directed
n1171,n1228,Directed
n1171,n1201,Directed
n1171,n1204,Directed
n1171,n1226,Directed
n1171,n1236,Directed
n1171,n1240,Directed
n1171,n1208,Directed
n1171,n1183,Directed
n1171,n1242,Directed
n1171,n1212,Directed
n1171,n1196,Directed
n1171,n1233,Directed
n1171,n1244,Directed
n1171,n1209,Directed
n1171,n1211,Directed
n1171,n1172,Directed
n1171,n1174,Directed
n1171,n1192,Directed
n1171,n1234,Directed
n1171,n1229,Directed
n1171,n1247,Directed
n1171,n1206,Directed
n1171,n1232,Directed
n1171,n1173,Directed
n1171,n1175,Directed
n1171,n1249,Directed
n1171,n1246,Directed
n1171,n426,Directed
n1171,n1198,Directed
n1171,n1220,Directed
n1171,n1028,Directed
n1171,n65,Directed
n1171,n1191,Directed
n1171,n125,Directed
n1171,n1187,Directed
n1171,n1194,Directed
n1171,n1248,Directed
n1171,n1177,Directed
n1171,n1188,Directed
n1171,n1238,Directed
n1171,n1181,Directed
n1171,n782,Directed
n1171,n1180,Directed
n1171,n1190,Directed
n1171,n1237,Directed
n1171,n1176,Directed
n1171,n370,Directed
n1171,n1227,Directed
n1171,n1205,Directed
n1171,n1214,Directed
n1171,n1222,Directed
n1171,n1224,Directed
n1171,n1202,Directed
n1171,n158,Directed
n1171,n1189,Directed
n1171,n1218,Directed
n1171,n1195,Directed
n1171,n1241,Directed
n1171,n1203,Directed
n1171,n1179,Directed
n1171,n1193,Directed
n1171,n1235,Directed
n1171,n1243,Directed
n1171,n1231,Directed
n1171,n1184,Directed
n1171,n1225,Directed
n1171,n420,Directed
n1171,n1215,Directed
n1171,n1217,Directed
n1171,n1213,Directed
n1251,n1262,Directed
n1251,n5195,Directed
n1251,n1275,Directed
n1251,n1270,Directed
n1251,n1254,Directed
n1251,n1284,Directed
n1251,n1286,Directed
n1251,n1288,Directed
n1251,n1252,Directed
n1251,n246,Directed
n1251,n1261,Directed
n1251,n1276,Directed
n1251,n1287,Directed
n1251,n1269,Directed
n1251,n152,Directed
n1251,n1256,Directed
n1251,n1274,Directed
n1251,n1259,Directed
n1251,n1285,Directed
n1251,n273,Directed
n1251,n1280,Directed
